rgn_id,year,a_prot_1km
1.0,2000,790.0
1.0,2001,815.0
1.0,2002,874.5
1.0,2003,963.25
1.0,2004,1256.0
1.0,2005,1271.75
1.0,2006,1588.75
1.0,2007,1686.25
1.0,2008,1698.5
1.0,2009,1727.0
1.0,2010,1740.25
1.0,2011,1748.0
1.0,2012,1749.0
1.0,2013,1771.0
1.0,2014,1874.25
1.0,2015,1874.25
2.0,2000,790.0
2.0,2001,815.0
2.0,2002,874.5
2.0,2003,963.25
2.0,2004,1256.0
2.0,2005,1271.75
2.0,2006,1588.75
2.0,2007,1686.25
2.0,2008,1698.5
2.0,2009,1727.0
2.0,2010,1740.25
2.0,2011,1748.0
2.0,2012,1749.0
2.0,2013,1771.0
2.0,2014,1874.25
2.0,2015,1874.25
3.0,2000,790.0
3.0,2001,815.0
3.0,2002,874.5
3.0,2003,963.25
3.0,2004,1256.0
3.0,2005,1271.75
3.0,2006,1588.75
3.0,2007,1686.25
3.0,2008,1698.5
3.0,2009,1727.0
3.0,2010,1740.25
3.0,2011,1748.0
3.0,2012,1749.0
3.0,2013,1771.0
3.0,2014,1874.25
3.0,2015,1874.25
4.0,2000,790.0
4.0,2001,815.0
4.0,2002,874.5
4.0,2003,963.25
4.0,2004,1256.0
4.0,2005,1271.75
4.0,2006,1588.75
4.0,2007,1686.25
4.0,2008,1698.5
4.0,2009,1727.0
4.0,2010,1740.25
4.0,2011,1748.0
4.0,2012,1749.0
4.0,2013,1771.0
4.0,2014,1874.25
4.0,2015,1874.25
5.0,2000,790.0
5.0,2001,815.0
5.0,2002,874.5
5.0,2003,963.25
5.0,2004,1256.0
5.0,2005,1271.75
5.0,2006,1588.75
5.0,2007,1686.25
5.0,2008,1698.5
5.0,2009,1727.0
5.0,2010,1740.25
5.0,2011,1748.0
5.0,2012,1749.0
5.0,2013,1771.0
5.0,2014,1874.25
5.0,2015,1874.25
6.0,2000,790.0
6.0,2001,815.0
6.0,2002,874.5
6.0,2003,963.25
6.0,2004,1256.0
6.0,2005,1271.75
6.0,2006,1588.75
6.0,2007,1686.25
6.0,2008,1698.5
6.0,2009,1727.0
6.0,2010,1740.25
6.0,2011,1748.0
6.0,2012,1749.0
6.0,2013,1771.0
6.0,2014,1874.25
6.0,2015,1874.25
7.0,2000,790.0
7.0,2001,815.0
7.0,2002,874.5
7.0,2003,963.25
7.0,2004,1256.0
7.0,2005,1271.75
7.0,2006,1588.75
7.0,2007,1686.25
7.0,2008,1698.5
7.0,2009,1727.0
7.0,2010,1740.25
7.0,2011,1748.0
7.0,2012,1749.0
7.0,2013,1771.0
7.0,2014,1874.25
7.0,2015,1874.25
8.0,2000,790.0
8.0,2001,815.0
8.0,2002,874.5
8.0,2003,963.25
8.0,2004,1256.0
8.0,2005,1271.75
8.0,2006,1588.75
8.0,2007,1686.25
8.0,2008,1698.5
8.0,2009,1727.0
8.0,2010,1740.25
8.0,2011,1748.0
8.0,2012,1749.0
8.0,2013,1771.0
8.0,2014,1874.25
8.0,2015,1874.25
9.0,2000,790.0
9.0,2001,815.0
9.0,2002,874.5
9.0,2003,963.25
9.0,2004,1256.0
9.0,2005,1271.75
9.0,2006,1588.75
9.0,2007,1686.25
9.0,2008,1698.5
9.0,2009,1727.0
9.0,2010,1740.25
9.0,2011,1748.0
9.0,2012,1749.0
9.0,2013,1771.0
9.0,2014,1874.25
9.0,2015,1874.25
10.0,2000,790.0
10.0,2001,815.0
10.0,2002,874.5
10.0,2003,963.25
10.0,2004,1256.0
10.0,2005,1271.75
10.0,2006,1588.75
10.0,2007,1686.25
10.0,2008,1698.5
10.0,2009,1727.0
10.0,2010,1740.25
10.0,2011,1748.0
10.0,2012,1749.0
10.0,2013,1771.0
10.0,2014,1874.25
10.0,2015,1874.25
