rgn_id,year,L
1.0,1989,
1.0,1990,15813100.0
1.0,1991,15957600.0
1.0,1992,16052700.0
1.0,1993,16234900.0
1.0,1994,16467300.0
1.0,1995,16618400.0
1.0,1996,16856e3
1.0,1997,17088100.0
1.0,1998,17323800.0
1.0,1999,17644800.0
1.0,2000,18185900.0
1.0,2001,18200500.0
1.0,2002,18913200.0
1.0,2003,19665e3
1.0,2004,20448300.0
1.0,2005,21163100.0
1.0,2006,21852600.0
1.0,2007,22435900.0
1.0,2008,23087200.0
1.0,2009,23303700.0
1.0,2010,23457600.0
1.0,2011,23543800.0
1.0,2012,23559700.0
1.0,2013,23281600.0
2.0,1989,
2.0,1990,15813100.0
2.0,1991,15957600.0
2.0,1992,16052700.0
2.0,1993,16234900.0
2.0,1994,16467300.0
2.0,1995,16618400.0
2.0,1996,16856e3
2.0,1997,17088100.0
2.0,1998,17323800.0
2.0,1999,17644800.0
2.0,2000,18185900.0
2.0,2001,18200500.0
2.0,2002,18913200.0
2.0,2003,19665e3
2.0,2004,20448300.0
2.0,2005,21163100.0
2.0,2006,21852600.0
2.0,2007,22435900.0
2.0,2008,23087200.0
2.0,2009,23303700.0
2.0,2010,23457600.0
2.0,2011,23543800.0
2.0,2012,23559700.0
2.0,2013,23281600.0
3.0,1989,
3.0,1990,15813100.0
3.0,1991,15957600.0
3.0,1992,16052700.0
3.0,1993,16234900.0
3.0,1994,16467300.0
3.0,1995,16618400.0
3.0,1996,16856e3
3.0,1997,17088100.0
3.0,1998,17323800.0
3.0,1999,17644800.0
3.0,2000,18185900.0
3.0,2001,18200500.0
3.0,2002,18913200.0
3.0,2003,19665e3
3.0,2004,20448300.0
3.0,2005,21163100.0
3.0,2006,21852600.0
3.0,2007,22435900.0
3.0,2008,23087200.0
3.0,2009,23303700.0
3.0,2010,23457600.0
3.0,2011,23543800.0
3.0,2012,23559700.0
3.0,2013,23281600.0
4.0,1989,
4.0,1990,15813100.0
4.0,1991,15957600.0
4.0,1992,16052700.0
4.0,1993,16234900.0
4.0,1994,16467300.0
4.0,1995,16618400.0
4.0,1996,16856e3
4.0,1997,17088100.0
4.0,1998,17323800.0
4.0,1999,17644800.0
4.0,2000,18185900.0
4.0,2001,18200500.0
4.0,2002,18913200.0
4.0,2003,19665e3
4.0,2004,20448300.0
4.0,2005,21163100.0
4.0,2006,21852600.0
4.0,2007,22435900.0
4.0,2008,23087200.0
4.0,2009,23303700.0
4.0,2010,23457600.0
4.0,2011,23543800.0
4.0,2012,23559700.0
4.0,2013,23281600.0
5.0,1989,
5.0,1990,15813100.0
5.0,1991,15957600.0
5.0,1992,16052700.0
5.0,1993,16234900.0
5.0,1994,16467300.0
5.0,1995,16618400.0
5.0,1996,16856e3
5.0,1997,17088100.0
5.0,1998,17323800.0
5.0,1999,17644800.0
5.0,2000,18185900.0
5.0,2001,18200500.0
5.0,2002,18913200.0
5.0,2003,19665e3
5.0,2004,20448300.0
5.0,2005,21163100.0
5.0,2006,21852600.0
5.0,2007,22435900.0
5.0,2008,23087200.0
5.0,2009,23303700.0
5.0,2010,23457600.0
5.0,2011,23543800.0
5.0,2012,23559700.0
5.0,2013,23281600.0
6.0,1989,
6.0,1990,15813100.0
6.0,1991,15957600.0
6.0,1992,16052700.0
6.0,1993,16234900.0
6.0,1994,16467300.0
6.0,1995,16618400.0
6.0,1996,16856e3
6.0,1997,17088100.0
6.0,1998,17323800.0
6.0,1999,17644800.0
6.0,2000,18185900.0
6.0,2001,18200500.0
6.0,2002,18913200.0
6.0,2003,19665e3
6.0,2004,20448300.0
6.0,2005,21163100.0
6.0,2006,21852600.0
6.0,2007,22435900.0
6.0,2008,23087200.0
6.0,2009,23303700.0
6.0,2010,23457600.0
6.0,2011,23543800.0
6.0,2012,23559700.0
6.0,2013,23281600.0
7.0,1989,
7.0,1990,15813100.0
7.0,1991,15957600.0
7.0,1992,16052700.0
7.0,1993,16234900.0
7.0,1994,16467300.0
7.0,1995,16618400.0
7.0,1996,16856e3
7.0,1997,17088100.0
7.0,1998,17323800.0
7.0,1999,17644800.0
7.0,2000,18185900.0
7.0,2001,18200500.0
7.0,2002,18913200.0
7.0,2003,19665e3
7.0,2004,20448300.0
7.0,2005,21163100.0
7.0,2006,21852600.0
7.0,2007,22435900.0
7.0,2008,23087200.0
7.0,2009,23303700.0
7.0,2010,23457600.0
7.0,2011,23543800.0
7.0,2012,23559700.0
7.0,2013,23281600.0
8.0,1989,
8.0,1990,15813100.0
8.0,1991,15957600.0
8.0,1992,16052700.0
8.0,1993,16234900.0
8.0,1994,16467300.0
8.0,1995,16618400.0
8.0,1996,16856e3
8.0,1997,17088100.0
8.0,1998,17323800.0
8.0,1999,17644800.0
8.0,2000,18185900.0
8.0,2001,18200500.0
8.0,2002,18913200.0
8.0,2003,19665e3
8.0,2004,20448300.0
8.0,2005,21163100.0
8.0,2006,21852600.0
8.0,2007,22435900.0
8.0,2008,23087200.0
8.0,2009,23303700.0
8.0,2010,23457600.0
8.0,2011,23543800.0
8.0,2012,23559700.0
8.0,2013,23281600.0
9.0,1989,
9.0,1990,15813100.0
9.0,1991,15957600.0
9.0,1992,16052700.0
9.0,1993,16234900.0
9.0,1994,16467300.0
9.0,1995,16618400.0
9.0,1996,16856e3
9.0,1997,17088100.0
9.0,1998,17323800.0
9.0,1999,17644800.0
9.0,2000,18185900.0
9.0,2001,18200500.0
9.0,2002,18913200.0
9.0,2003,19665e3
9.0,2004,20448300.0
9.0,2005,21163100.0
9.0,2006,21852600.0
9.0,2007,22435900.0
9.0,2008,23087200.0
9.0,2009,23303700.0
9.0,2010,23457600.0
9.0,2011,23543800.0
9.0,2012,23559700.0
9.0,2013,23281600.0
10.0,1989,
10.0,1990,15813100.0
10.0,1991,15957600.0
10.0,1992,16052700.0
10.0,1993,16234900.0
10.0,1994,16467300.0
10.0,1995,16618400.0
10.0,1996,16856e3
10.0,1997,17088100.0
10.0,1998,17323800.0
10.0,1999,17644800.0
10.0,2000,18185900.0
10.0,2001,18200500.0
10.0,2002,18913200.0
10.0,2003,19665e3
10.0,2004,20448300.0
10.0,2005,21163100.0
10.0,2006,21852600.0
10.0,2007,22435900.0
10.0,2008,23087200.0
10.0,2009,23303700.0
10.0,2010,23457600.0
10.0,2011,23543800.0
10.0,2012,23559700.0
10.0,2013,23281600.0
